seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1655889	1655926	38	*	X00040	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X00040	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1656077	1656135	59	*	X00041	728642	1634170	1655791	21622	-	285	upstream	285	CDK11A
chr1	1656077	1656135	59	*	X00041	984	1571100	1655775	84676	-	301	upstream	301	CDK11B
chr1	1677415	1677987	573	*	X00042	728661	1590988	1677438	86451	-	0	overlapStart	0	SLC35E2B
chr1	1677415	1677987	573	*	X00042	9906	1656277	1677438	21162	-	0	overlapStart	0	SLC35E2A
chr1	1822456	1822752	297	*	X00043	2782	1716725	1822526	105802	-	0	overlapStart	0	GNB1
chr1	1850720	1851079	360	*	X00044	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1982176	1982190	15	*	X00045	5590	1981909	2116834	134926	+	0	inside	266	PRKCZ
chr1	2139342	2139413	72	*	X00048	199990	2115899	2139172	23274	-	169	upstream	169	FAAP20
chr1	2457634	2457750	117	*	X00049	55229	2439975	2458035	18061	-	0	inside	284	PANK4
chr1	3712899	3712929	31	*	X00051	57470	3696784	3713068	16285	-	0	inside	138	LRRC47
chr1	3712990	3713250	261	*	X00052	57470	3696784	3713068	16285	-	0	overlapStart	0	LRRC47
chr1	3773670	3773723	54	*	X00053	1677	3773845	3801993	28149	+	121	upstream	121	DFFB
chr1	3773670	3773723	54	*	X00053	9731	3728645	3773797	45153	-	0	inside	73	CEP104
chr1	3816677	3816812	136	*	X00054	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X00054	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
chr1	3817362	3817396	35	*	X00055	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X00056	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6052991	6053012	22	*	X00057	261734	5922870	6052533	129664	-	457	upstream	457	NPHP4
chr1	6259485	6259930	446	*	X00058	6146	6245080	6259679	14600	-	0	overlapStart	0	RPL22
chr1	6259956	6259973	18	*	X00059	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X00060	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6295821	6295857	37	*	X00061	23463	6281253	6296044	14792	-	0	inside	186	ICMT
chr1	6295872	6295888	17	*	X00062	23463	6281253	6296044	14792	-	0	inside	155	ICMT
chr1	6295903	6295914	12	*	X00063	23463	6281253	6296044	14792	-	0	inside	129	ICMT
chr1	6296018	6296043	26	*	X00064	23463	6281253	6296044	14792	-	0	inside	0	ICMT
chr1	6321265	6321286	22	*	X00066	387509	6307406	6321035	13630	-	229	upstream	229	GPR153
chr1	6614429	6614659	231	*	X00067	79707	6581407	6614658	33252	-	0	overlapStart	0	NOL9
chr1	6614429	6614659	231	*	X00067	80835	6615338	6639817	24480	+	678	upstream	678	TAS1R1
chr1	6662477	6662922	446	*	X00072	9903	6650779	6662929	12151	-	0	inside	6	KLHL21
chr1	6663015	6663030	16	*	X00073	9903	6650779	6662929	12151	-	85	upstream	85	KLHL21
chr1	6673540	6673582	43	*	X00074	148479	6673756	6684093	10338	+	173	upstream	173	PHF13
chr1	6673982	6674025	44	*	X00075	148479	6673756	6684093	10338	+	0	inside	225	PHF13
chr1	6674044	6674056	13	*	X00076	148479	6673756	6684093	10338	+	0	inside	287	PHF13
chr1	6761672	6761718	47	*	X00078	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6762159	430	*	X00079	55735	6694228	6761966	67739	-	0	overlapStart	0	DNAJC11
chr1	7844231	7844256	26	*	X00082	8863	7844380	7905237	60858	+	123	upstream	123	PER3
chr1	7844337	7844389	53	*	X00083	8863	7844380	7905237	60858	+	0	overlapStart	0	PER3
chr1	7844419	7844529	111	*	X00084	8863	7844380	7905237	60858	+	0	inside	38	PER3
chr1	8021376	8021386	11	*	X00085	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8022092	680	*	X00086	11315	8021714	8045342	23629	+	0	overlapStart	0	PARK7
chr1	8877604	8877778	175	*	X00092	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9294882	9295120	239	*	X00094	9563	9294863	9331394	36532	+	0	inside	18	H6PD
chr1	9352987	9353013	27	*	X00095	80176	9352941	9429590	76650	+	0	inside	45	SPSB1
chr1	9353029	9353041	13	*	X00096	80176	9352941	9429590	76650	+	0	inside	87	SPSB1
chr1	9599605	9599708	104	*	X00097	84275	9599528	9642831	43304	+	0	inside	76	SLC25A33
chr1	9649090	9649128	39	*	X00098	199953	9648932	9674935	26004	+	0	inside	157	TMEM201
chr1	9884604	9884701	98	*	X00103	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	9970169	9970343	175	*	X00104	56998	9908334	9970316	61983	-	0	overlapStart	0	CTNNBIP1
chr1	10003197	10003673	477	*	X00105	64802	10003486	10045556	42071	+	0	overlapStart	0	NMNAT1
chr1	10003197	10003673	477	*	X00105	84328	9989776	10003427	13652	-	0	overlapStart	0	LZIC
chr1	10490364	10490724	361	*	X00106	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490724	361	*	X00106	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10532482	10532499	18	*	X00108	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X00109	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535117	233	*	X00110	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10535134	10535153	20	*	X00111	5195	10535003	10690815	155813	+	0	inside	130	PEX14
chr1	10856556	10856976	421	*	X00113	54897	10696666	10856733	160068	-	0	overlapStart	0	CASZ1
chr1	11072454	11072512	59	*	X00114	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X00115	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X00116	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322766	11323036	271	*	X00117	2475	11166588	11322608	156021	-	157	upstream	157	MTOR
chr1	11333250	11333517	268	*	X00118	29914	11333255	11348491	15237	+	0	overlapStart	0	UBIAD1
chr1	11538883	11538917	35	*	X00119	57540	11539295	11597640	58346	+	377	upstream	377	DISP3
chr1	11539077	11539309	233	*	X00120	57540	11539295	11597640	58346	+	0	overlapStart	0	DISP3
chr1	11919179	11919643	465	*	X00121	4879	11917521	11918992	1472	-	186	upstream	186	NPPB
chr1	11994780	11994815	36	*	X00125	5351	11994724	12035599	40876	+	0	inside	55	PLOD1
chr1	12289934	12290192	259	*	X00126	55187	12290113	12572098	281986	+	0	overlapStart	0	VPS13D
chr1	15479805	15479878	74	*	X00127	200197	15438311	15478960	40650	-	844	upstream	844	TMEM51-AS1
chr1	15479923	15479970	48	*	X00128	200197	15438311	15478960	40650	-	962	upstream	962	TMEM51-AS1
chr1	15480225	15480286	62	*	X00129	200197	15438311	15478960	40650	-	1264	upstream	1264	TMEM51-AS1
chr1	15573532	15573542	11	*	X00130	114827	15573768	15726778	153011	+	225	upstream	225	FHAD1
chr1	15573603	15573635	33	*	X00131	114827	15573768	15726778	153011	+	132	upstream	132	FHAD1
chr1	15736262	15736473	212	*	X00132	79180	15736391	15756839	20449	+	0	overlapStart	0	EFHD2
chr1	15853084	15853521	438	*	X00133	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	15853084	15853521	438	*	X00133	842	15817324	15851285	33962	-	1798	upstream	1798	CASP9
chr1	16174024	16174288	265	*	X00135	23013	16174359	16266950	92592	+	70	upstream	70	SPEN
chr1	16174333	16174368	36	*	X00136	23013	16174359	16266950	92592	+	0	overlapStart	0	SPEN
chr1	16174333	16174368	36	*	X00136	729614	16160710	16174642	13933	-	0	inside	273	FLJ37453
chr1	16302408	16302643	236	*	X00138	7709	16268364	16302627	34264	-	0	overlapStart	0	ZBTB17
chr1	16678604	16679185	582	*	X00139	54455	16576559	16678948	102390	-	0	overlapStart	0	FBXO42
chr1	16693485	16693552	68	*	X00140	26099	16693525	16724643	31119	+	0	overlapStart	0	SZRD1
chr1	16693791	16693810	20	*	X00141	26099	16693525	16724643	31119	+	0	inside	265	SZRD1
chr1	16767052	16767300	249	*	X00142	55707	16767167	16786584	19418	+	0	overlapStart	0	NECAP2
chr1	16767333	16767374	42	*	X00143	55707	16767167	16786584	19418	+	0	inside	165	NECAP2
chr1	16939773	16940386	614	*	X00152	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	16970939	16971495	557	*	X00153	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16970939	16971495	557	*	X00153	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17380540	17380612	73	*	X00173	6390	17345225	17380665	35441	-	0	inside	52	SDHB
chr1	17380721	17380738	18	*	X00174	6390	17345225	17380665	35441	-	55	upstream	55	SDHB
chr1	19577982	19578361	380	*	X00177	23065	19542158	19578053	35896	-	0	overlapStart	0	EMC1
chr1	19577982	19578361	380	*	X00177	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	19638501	19638521	21	*	X00178	54896	19638740	19658922	20183	+	218	upstream	218	PQLC2
chr1	19638501	19638521	21	*	X00178	8574	19629202	19638640	9439	-	0	inside	118	AKR7A2
chr1	19638536	19638588	53	*	X00179	54896	19638740	19658922	20183	+	151	upstream	151	PQLC2
chr1	19638536	19638588	53	*	X00179	8574	19629202	19638640	9439	-	0	inside	51	AKR7A2
chr1	21672461	21672548	88	*	X00188	1889	21543740	21672034	128295	-	426	upstream	426	ECE1
chr1	22109512	22109666	155	*	X00190	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X00191	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	22379151	22379300	150	*	X00192	998	22379120	22419436	40317	+	0	inside	30	CDC42
chr1	22777967	22777982	16	*	X00193	9923	22778344	22857650	79307	+	361	upstream	361	ZBTB40
chr1	22778007	22778022	16	*	X00194	9923	22778344	22857650	79307	+	321	upstream	321	ZBTB40
chr1	22778042	22778086	45	*	X00195	9923	22778344	22857650	79307	+	257	upstream	257	ZBTB40
chr1	22778194	22778564	371	*	X00196	9923	22778344	22857650	79307	+	0	overlapStart	0	ZBTB40
chr1	23345762	23346118	357	*	X00197	23028	23345941	23410184	64244	+	0	overlapStart	0	KDM1A
chr1	23670690	23670774	85	*	X00198	10236	23636276	23670853	34578	-	0	inside	78	HNRNPR
chr1	23695395	23695491	97	*	X00200	148898	23695464	23698330	2867	+	0	overlapStart	0	ZNF436-AS1
chr1	24018188	24018431	244	*	X00204	6135	24018269	24022915	4647	+	0	overlapStart	0	RPL11
chr1	24069888	24070103	216	*	X00205	6924	24069856	24088549	18694	+	0	inside	31	ELOA
chr1	24104891	24105126	236	*	X00206	100506963	24086872	24104787	17916	-	103	upstream	103	ELOA-AS1
chr1	24104891	24105126	236	*	X00206	57095	24104876	24114722	9847	+	0	inside	14	PITHD1
chr1	24117592	24117607	16	*	X00207	11313	24117646	24122029	4384	+	38	upstream	38	LYPLA2
chr1	24127201	24127499	299	*	X00208	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24285557	24285599	43	*	X00210	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24286245	24286266	22	*	X00211	55629	24286301	24289949	3649	+	34	upstream	34	PNRC2
chr1	24829381	24829420	40	*	X00213	100750325	24822823	24828850	6028	-	530	upstream	530	RCAN3AS
chr1	24969273	24969352	80	*	X00214	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969491	115	*	X00215	10250	24969594	24999772	30179	+	102	upstream	102	SRRM1
chr1	24969542	24969563	22	*	X00216	10250	24969594	24999772	30179	+	30	upstream	30	SRRM1
chr1	24969685	24969738	54	*	X00217	10250	24969594	24999772	30179	+	0	inside	90	SRRM1
chr1	24969758	24969901	144	*	X00218	10250	24969594	24999772	30179	+	0	inside	163	SRRM1
chr1	25664762	25664792	31	*	X00223	23585	25664789	25688852	24064	+	0	overlapStart	0	TMEM50A
chr1	25664762	25664792	31	*	X00223	57035	25568740	25664656	95917	-	105	upstream	105	RSRP1
chr1	25664853	25664965	113	*	X00224	23585	25664789	25688852	24064	+	0	inside	63	TMEM50A
chr1	25664853	25664965	113	*	X00224	57035	25568740	25664656	95917	-	196	upstream	196	RSRP1
chr1	25756562	25756629	68	*	X00225	55219	25757388	25826698	69311	+	758	upstream	758	MACO1
chr1	25756562	25756629	68	*	X00225	6006	25688740	25756683	67944	-	0	inside	53	RHCE
chr1	25756643	25756790	148	*	X00226	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756643	25756790	148	*	X00226	6006	25688740	25756683	67944	-	0	overlapStart	0	RHCE
chr1	25756874	25756921	48	*	X00227	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X00227	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	25943218	25943250	33	*	X00228	57134	25943959	26111258	167300	+	708	upstream	708	MAN1C1
chr1	25943340	25943430	91	*	X00229	57134	25943959	26111258	167300	+	528	upstream	528	MAN1C1
chr1	26146285	26146524	240	*	X00230	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185981	230	*	X00231	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26232784	26233030	247	*	X00235	100500808	26232853	26232945	93	-	0	includeFeature	0	MIR3917
chr1	26324504	26324677	174	*	X00236	5051	26286258	26324648	38391	-	0	overlapStart	0	PAFAH2
chr1	26324757	26325018	262	*	X00237	5051	26286258	26324648	38391	-	108	upstream	108	PAFAH2
chr1	26496341	26496466	126	*	X00238	51042	26496388	26497364	977	+	0	overlapStart	0	ZNF593
chr1	26758689	26758883	195	*	X00239	79947	26758773	26797795	39023	+	0	overlapStart	0	DHDDS
chr1	27021918	27022327	410	*	X00245	8289	27022522	27108601	86080	+	194	upstream	194	ARID1A
chr1	27114244	27114462	219	*	X00246	55650	27114454	27124894	10441	+	0	overlapStart	0	PIGV
chr1	27216532	27216575	44	*	X00247	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X00248	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X00249	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27286840	27286965	126	*	X00250	126695	27276047	27286901	10855	-	0	overlapStart	0	KDF1
chr1	27481453	27481768	316	*	X00252	6548	27425300	27481621	56322	-	0	overlapStart	0	SLC9A1
chr1	27561012	27561316	305	*	X00253	23038	27561007	27635124	74118	+	0	inside	4	WDTC1
chr1	27648462	27648980	519	*	X00254	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648462	27648980	519	*	X00254	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27930203	27930334	132	*	X00256	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	27930353	27930431	79	*	X00257	27245	27860756	27930361	69606	-	0	overlapStart	0	AHDC1
chr1	27930478	27930700	223	*	X00258	27245	27860756	27930361	69606	-	116	upstream	116	AHDC1
chr1	28099708	28099901	194	*	X00259	23673	28099694	28150963	51270	+	0	inside	13	STX12
chr1	28157105	28157448	344	*	X00260	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28241142	28241250	109	*	X00261	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28559524	28559553	30	*	X00262	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28559580	28559687	108	*	X00263	22826	28526790	28559542	32753	-	37	upstream	37	DNAJC8
chr1	28562668	28562700	33	*	X00264	93974	28562602	28564616	2015	+	0	inside	65	ATP5IF1
chr1	28562727	28562759	33	*	X00265	93974	28562602	28564616	2015	+	0	inside	124	ATP5IF1
chr1	28585978	28586578	601	*	X00267	83667	28585963	28609002	23040	+	0	inside	14	SESN2
chr1	28655240	28655255	16	*	X00268	54797	28655513	28662478	6966	+	257	upstream	257	MED18
chr1	28655348	28655723	376	*	X00269	54797	28655513	28662478	6966	+	0	overlapStart	0	MED18
chr1	28696141	28696359	219	*	X00270	65979	28696093	28826881	130789	+	0	inside	47	PHACTR4
chr1	28879353	28879687	335	*	X00275	54952	28879529	28905057	25529	+	0	overlapStart	0	TRNAU1AP
chr1	28879754	28879767	14	*	X00276	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28907975	28908664	690	*	X00277	677825	28906893	28907024	132	-	950	upstream	950	SNORA44
chr1	28907975	28908664	690	*	X00277	677838	28906276	28906405	130	-	1569	upstream	1569	SNORA61
chr1	28907975	28908664	690	*	X00277	692073	28907432	28907565	134	-	409	upstream	409	SNORA16A
chr1	28907975	28908664	690	*	X00277	85028	28905050	28908383	3334	-	0	overlapStart	0	SNHG12
chr1	28969434	28969767	334	*	X00278	6883	28929609	28969604	39996	-	0	overlapStart	0	TAF12
chr1	28974991	28975726	736	*	X00279	26824	28975112	28975246	135	+	0	includeFeature	0	RNU11
chr1	28995197	28995365	169	*	X00280	10691	28995240	29042115	46876	+	0	overlapStart	0	GMEB1
chr1	28995408	28995501	94	*	X00281	10691	28995240	29042115	46876	+	0	inside	167	GMEB1
chr1	29063165	29063654	490	*	X00282	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	31191524	31191552	29	*	X00288	100129196	31191619	31199593	7975	+	66	upstream	66	MATN1-AS1
chr1	31191616	31191800	185	*	X00289	100129196	31191619	31199593	7975	+	0	overlapStart	0	MATN1-AS1
chr1	31538446	31538650	205	*	X00291	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32479424	32479571	148	*	X00296	10657	32479295	32526460	47166	+	0	inside	128	KHDRBS1
chr1	32538354	32538674	321	*	X00298	55116	32538503	32568467	29965	+	0	overlapStart	0	TMEM39B
chr1	32573621	32573714	94	*	X00299	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X00300	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645250	32645567	318	*	X00301	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32645618	32645657	40	*	X00302	200081	32645345	32663886	18542	+	0	inside	272	TXLNA
chr1	32757398	32758067	670	*	X00303	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32801589	32801602	14	*	X00306	65108	32799430	32801840	2411	-	0	inside	237	MARCKSL1
chr1	32801721	32801782	62	*	X00307	65108	32799430	32801840	2411	-	0	inside	57	MARCKSL1
chr1	32801811	32802100	290	*	X00308	65108	32799430	32801840	2411	-	0	overlapStart	0	MARCKSL1
chr1	32860204	32860280	77	*	X00312	55108	32830705	32860062	29358	-	141	upstream	141	BSDC1
chr1	32860326	32860427	102	*	X00313	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	32930403	32930474	72	*	X00314	653121	32930658	33071542	140885	+	183	upstream	183	ZBTB8A
chr1	32930403	32930474	72	*	X00314	728116	32930658	32953459	22802	+	183	upstream	183	ZBTB8B
chr1	33116623	33116956	334	*	X00315	339487	33065773	33116185	50413	-	437	upstream	437	ZBTB8OS
chr1	33116623	33116956	334	*	X00315	5928	33116749	33151812	35064	+	0	overlapStart	0	RBBP4
chr1	33282835	33283213	379	*	X00317	64766	33283043	33324480	41438	+	0	overlapStart	0	S100PBP
chr1	33352125	33352384	260	*	X00318	3208	33352098	33360247	8150	+	0	inside	26	HPCA
chr1	33430285	33430638	354	*	X00321	127544	33402050	33430286	28237	-	0	overlapStart	0	RNF19B
chr1	33502389	33502470	82	*	X00322	204	33473541	33502512	28972	-	0	inside	41	AK2
chr1	33502482	33502534	53	*	X00323	204	33473541	33502512	28972	-	0	overlapStart	0	AK2
chr1	33647709	33647724	16	*	X00325	55223	33611003	33647671	36669	-	37	upstream	37	TRIM62
chr1	33722386	33722711	326	*	X00326	149076	33722174	33766320	44147	+	0	inside	211	ZNF362
chr1	33896370	33896576	207	*	X00330	1912	33789224	33896615	107392	-	0	inside	38	PHC2
chr1	35325236	35325257	22	*	X00331	113444	35315963	35325417	9455	-	0	inside	159	SMIM12
chr1	35325290	35325493	204	*	X00332	113444	35315963	35325417	9455	-	0	overlapStart	0	SMIM12
chr1	35497646	35497671	26	*	X00334	9204	35449368	35497569	48202	-	76	upstream	76	ZMYM6
chr1	35658246	35658536	291	*	X00336	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658739	188	*	X00337	6421	35649201	35658743	9543	-	0	inside	3	SFPQ
chr1	35734266	35734330	65	*	X00338	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734533	151	*	X00339	9202	35734568	35887545	152978	+	34	upstream	34	ZMYM4
chr1	36023345	36023429	85	*	X00340	23154	36023393	36032380	8988	+	0	overlapStart	0	NCDN
chr1	36023345	36023429	85	*	X00340	79932	35899091	36023551	124461	-	0	inside	121	KIAA0319L
chr1	36107053	36107237	185	*	X00341	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36396475	36397001	527	*	X00346	192669	36396319	36522063	125745	+	0	inside	155	AGO3
chr1	36554305	36554707	403	*	X00347	54936	36554453	36559533	5081	+	0	overlapStart	0	ADPRHL2
chr1	36554720	36554749	30	*	X00348	54936	36554453	36559533	5081	+	0	inside	266	ADPRHL2
chr1	36863403	36863491	89	*	X00351	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X00352	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X00353	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980224	37980570	347	*	X00354	64769	37955561	37980420	24860	-	0	overlapStart	0	MEAF6
chr1	38020090	38020140	51	*	X00355	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38100585	38100631	47	*	X00356	284654	38076951	38100595	23645	-	0	overlapStart	0	RSPO1
chr1	38100646	38100765	120	*	X00357	284654	38076951	38100595	23645	-	50	upstream	50	RSPO1
chr1	38259872	38259943	72	*	X00360	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38455526	38455986	461	*	X00362	10946	38422652	38455761	33110	-	0	overlapStart	0	SF3A3
chr1	38477938	38477959	22	*	X00363	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X00364	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478298	257	*	X00365	51118	38478384	38490497	12114	+	85	upstream	85	UTP11
chr1	38512618	38512638	21	*	X00366	5453	38509523	38512450	2928	-	167	upstream	167	POU3F1
chr1	38513123	38513185	63	*	X00367	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	38513209	38513260	52	*	X00368	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	39456796	39457059	264	*	X00371	79647	39456916	39471737	14822	+	0	overlapStart	0	AKIRIN1
chr1	40042303	40042315	13	*	X00376	8761	40026485	40042521	16037	-	0	inside	205	PABPC4
chr1	40042370	40042721	352	*	X00377	8761	40026485	40042521	16037	-	0	overlapStart	0	PABPC4
chr1	40156971	40157182	212	*	X00379	51440	40144645	40157089	12445	-	0	overlapStart	0	HPCAL4
chr1	40204296	40204380	85	*	X00380	10450	40204517	40229586	25070	+	136	upstream	136	PPIE
chr1	40204540	40204554	15	*	X00381	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X00382	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
chr1	40367433	40367657	225	*	X00385	4610	40361096	40367687	6592	-	0	inside	29	MYCL
chr1	40420892	40420958	67	*	X00386	84879	40420784	40435628	14845	+	0	inside	107	MFSD2A
chr1	40562826	40563018	193	*	X00387	5538	40538382	40563142	24761	-	0	inside	123	PPT1
chr1	40626915	40627210	296	*	X00388	6018	40627041	40706593	79553	+	0	overlapStart	0	RLF
chr1	40627248	40627281	34	*	X00389	6018	40627041	40706593	79553	+	0	inside	206	RLF
chr1	40723384	40724046	663	*	X00392	10269	40723722	40759856	36135	+	0	overlapStart	0	ZMPSTE24
